comment,actual,predicted
jkl സ്റ്റോറിന്റെ ജീവനക്കാർ എല്ലായ്പ്പോഴും അറിവുള്ളവരും സഹായിക്കാൻ തയ്യാറുള്ളവരുമാണ്.,Positive,Negative
The movie was truly captivating. I could not take my eyes off the screen.,Positive,Negative
CEO యొక్క క్షమాపణ మరియు సమస్యను పరిష్కరించడానికి వాగ్దానం కస్టమర్ విధేయత మరియు సంతృప్తిలో గణనీయమైన పెరుగుదలకు దారితీసింది.,Positive,Negative
நிறுவனம் நிலையான hr கொள்கைகள் மற்றும் நடைமுறைகளைப் பின்பற்றுகிறது.,Neutral,Positive
The variety of products offered on the site is impressive.,Positive,Neutral
"mno ഉൽപ്പന്നങ്ങളുടെ പാക്കേജിംഗ് വളരെ പരിസ്ഥിതി സൗഹൃദമാണ്, ഞാൻ ഈ ശ്രമത്തെ അഭിനന്ദിക്കുന്നു.",Positive,Negative
"ಐಕಾಲ್ ತನ್ನ ಟವರ್ ಸ್ಪೀಕರ್ ಸೆಟ್‌ನಲ್ಲಿ ಎರಡು 500 ವ್ಯಾಟ್ಸ್ ಸ್ಪೀಕರ್‌ಗಳನ್ನು ನೀಡುತ್ತಿದೆ. ಇದು ದೊಡ್ಡ ಸಂಖ್ಯೆಯಂತೆ ತೋರುತ್ತಿದ್ದರೂ, ಇದು ಕೇವಲ ಹೆಚ್ಚುವರಿ ವ್ಯರ್ಥವಾಗಿದೆ ಏಕೆಂದರೆ 200 W ನಂತರ ಔಟ್‌ಪುಟ್ ಬಹಳಷ್ಟು ವ್ಯತ್ಯಾಸಗೊಳ್ಳುವುದಿಲ್ಲ.",Negative,Positive
The well-being of the patients is the top priority for our medical professionals.,Positive,Neutral
"atm നെറ്റ്വർക്ക് വിപുലമാണ്, ഇത് എന്റെ പണം ആക്സസ് ചെയ്യുന്നത് എളുപ്പമാക്കുന്നു.",Positive,Negative
"ବୋଟର ନୂତନ ସାଉଣ୍ଡବାରରେ ଅନେକ ଧ୍ୱନି ମୋଡ୍ ଅଛି, ଯେପରିକି ଚାରିପାଖ ଧ୍ୱନି ବିସ୍ତାର, ଖେଳ ମୋଡ୍, ସ୍ମାର୍ଟ ମୋଡ୍, DTS ଭର୍ଚୁଆଲ୍ X ଏବଂ ଏକ ମାନକ ମୋଡ୍ | ପ୍ରତ୍ୟେକ ଭିନ୍ନ ଆବଶ୍ୟକତା ପାଇଁ ଏହା ସାଉଣ୍ଡ ଆଉଟପୁଟ୍ କଷ୍ଟୋମାଇଜ୍ କରେ |",Positive,Negative
The customer service team is available 24/7 to assist with any issues.,Positive,Neutral
"abc কোম্পানির দ্বারা নতুন পণ্য প্রবর্তন একটি হতাশা ছিল, এটি আমি আশা করা বৈশিষ্ট্য অভাব ছিল।",Negative,Neutral
The crisis management team's swift action to address the issue led to a decrease in negative sentiment over time.,Positive,Negative
The workload is consistent and predictable.,Neutral,Negative
"vwx സ്റ്റോറിന്റെ ലോയൽറ്റി പ്രോഗ്രാം ഒരു തമാശയാണ്, എനിക്ക് യാതൊരു ആനുകൂല്യങ്ങളും ലഭിച്ചിട്ടില്ല.",Negative,Positive
"ଜେବ୍ରୋନିକ୍ସ ହୋମ୍ ଥିଏଟର ସିଷ୍ଟମ୍ ବ୍ଲୁଟୁଥ୍, USB ଏବଂ HDMI ପରି ସମସ୍ତ ପ୍ରକାର ସଂଯୋଗ ପ୍ରଦାନ କରୁଛି | କିନ୍ତୁ, ଭଲ ସଫ୍ଟୱେୟାରର ଅଭାବ ହେତୁ ଏହା ସଂଯୋଗକୁ ଖରାପ କରିବା ଆରମ୍ଭ କରେ ଏବଂ ସିଷ୍ଟମକୁ ମନ୍ଥର କରିଥାଏ |",Negative,Positive
"ଫଳାଫଳ ସହିତ ନିରାଶ ହୋଇ, ପୁନର୍ଗଠନ କରିବାକୁ ପଡିବ ଏବଂ ପୁନର୍ବାର ଚେଷ୍ଟା କରିବାକୁ ପଡିବ #nevergeup",Negative,Positive
The hospital's new MRI machine has significantly reduced the waiting time for patients.,Positive,Neutral
The star player is still out with an injury and there is no timetable for his return.,Negative,Neutral
"ഇൻസ്റ്റയിൽ, ചിത്രങ്ങൾ പങ്കിടുന്നതും സുഹൃത്തുക്കൾ ഇട്ട സ്റ്റോറികളും വീഡിയോകളും കാണുന്നതും വളരെ ഡാറ്റ ഉപയോഗിക്കുന്നതാണ്. എന്റെ 2GB പ്ലാൻ പോലും തികയില്ല. നിങ്ങൾക്ക് മതിയായ ഇന്റർനെറ്റ് വേഗത ഇല്ലെങ്കിൽ ഇൻസ്റ്റ ആക്സസ് ചെയ്യാനാകില്ല.",Negative,Positive
"The food at the restaurant was exquisite, with fresh ingredients and creative presentations.",Positive,Neutral
ଏୟାର କୁଲରର ଟାଙ୍କି  କ୍ଷମତା ମାତ୍ର 8 Ltr ଏହି ଗ୍ରୀଷ୍ମ ଦିନରେ ଏହା ପ୍ରାୟତଃ ଶୁଖିବାରେ ଲାଗେ ଏବଂ ଏହାକୁ ସର୍ବଦା ନଜର ରଖିବା ଜଣେ ବ୍ୟକ୍ତିଙ୍କ କାମ |,Negative,Positive
ਅਸੀਂ ਕਲਪਨਾ ਤੋਂ ਵੀ ਪਰੇ ਦਾ ਅਨੁਭਵ ਕੀਤਾ ... 3D ਗਲਾਸ ਉੱਤੇ ਬਹੁਤ ਸਕ੍ਰੈਚਾਂ ਲੱਗੇ ਹੋਏ ਸਨ ਅਤੇ ਬਦਲਣ ਲਈ ਕਹਿਣ ‘ਤੇ ਸਾਡੇ ਨਾਲ ਬਦਤਮੀਜ਼ੀ ਨਾਲ ਪੇਸ਼ ਆਇਆ ਗਿਆ!!,Negative,Positive
"vwx સ્ટોરનો વફાદારી કાર્યક્રમ એક મજાક છે, મને કોઈ લાભ મળ્યો નથી.",Negative,Positive
I had to stop taking my medication due to side effects.,Neutral,Negative
AC-টো তামৰ কইলেৰে সজ্জিত যিটো এলুমিনিয়ামতকৈ বহুত বেছি কাৰ্যকৰী হয়।,Positive,Negative
અમારા પ્રભાવક માર્કેટિંગ ઝુંબેશ પર તટસ્થ પ્રતિસાદ.આપણા અભિગમને સુધારતા રહેવાની જરૂર છે.#influencer માર્કેટિંગ,Neutral,Positive
"I had a bad experience shopping at this store, the staff were very pushy and aggressive.",Negative,Positive
"ইয়াৰ স্প্লিট AC এতিয়া PM 2.5 ফিল্টাৰৰ সৈতে আহে। যিহেতু ই বতাহৰ প্ৰায় 99% কণিকা ৰোধ কৰে, গতিকে ই যিকোনো বায়ু-বাহিত ৰোগৰ প্ৰতি ৰোগ প্ৰতিৰোধ ক্ষমতা হ্ৰাস হোৱাৰ আশংকা বৃদ্ধি কৰে।",Negative,Positive
"The market rallied strongly today, with the Dow Jones Industrial Average hitting a new record high.",Positive,Neutral
The company provides opportunities for professional development.,Neutral,Positive
The brand's competitor has been receiving more positive feedback for their similar product.,Negative,Positive
The personalized recommendations are just plain wrong.,Negative,Positive
The Supreme Court has struck down the unconstitutional law.,Positive,Neutral
The market research study revealed a growing trend of consumers seeking personalized product recommendations.,Positive,Neutral
I have escalated your issue to a senior agent.,Neutral,Negative
"ಕಂಪನಿಯ n ನಲ್ಲಿನ ಬೆಲೆಗಳು ಉತ್ಪನ್ನದ ಗುಣಮಟ್ಟಕ್ಕೆ ತುಂಬಾ ಹೆಚ್ಚಾಗಿದೆ, ನಾನು ಮತ್ತೆ ಖರೀದಿಸುವುದಿಲ್ಲ.",Negative,Positive
There seems to be little opportunity for career growth.,Negative,Neutral
"This product has a 3.5-star rating, let us take a closer look.",Neutral,Positive
The politician's proposal for affordable housing received praise from various stakeholders.,Positive,Neutral
HR ਵਿਭਾਗ ਕਰਮਚਾਰੀਆਂ ਦੇ ਲਾਭਾਂ ਅਤੇ ਤਨਖਾਹ ਦੇ ਪ੍ਰਬੰਧਨ ਲਈ ਜ਼ਿੰਮੇਵਾਰ ਹੈ।,Neutral,Positive
"క్రోమా ఎసి AI మోడ్, దీనిని ఆటో ఆపరేషన్ మోడ్ అని కూడా పిలుస్తారు, గది ఉష్ణోగ్రతను బట్టి ఫ్యాన్ వేగం మరియు ఉష్ణోగ్రతను ఆటోమేటిక్ గా సెట్ చేస్తుంది. ఇది కృత్రిమ మేధస్సుపై పనిచేస్తుంది కాబట్టి ఫలితాలు అంత సౌకర్యవంతంగా ఉండవు.",Negative,Positive
કંપનીના q3 અર્નિંગ રિપોર્ટની અપેક્ષાઓ કરતાં વધી ગઈ છે.,Positive,Neutral
Neutral feedback on our customer service. � Need to maintain quality and strive for excellence. #teamwork,Neutral,Positive
"আমি verizon এ গ্রাহক পরিষেবা নিয়ে খুব হতাশ, তারা কেবল সহায়ক নয়।",Negative,Positive
The product arrived on time and was exactly as described.,Positive,Neutral
The app's recommendation system is designed to be user-friendly and intuitive.,Neutral,Positive
ਨਵੇਂ hr ਸਾਫਟਵੇਅਰ ਸਿਸਟਮ ਨੇ ਬਹੁਤ ਸਾਰੇ ਪ੍ਰਸ਼ਾਸਕੀ ਕੰਮਾਂ ਨੂੰ ਸੁਚਾਰੂ ਬਣਾਇਆ ਹੈ।,Neutral,Positive
"I received a personalized thank you email after my purchase, which was a nice touch.",Positive,Neutral
Apple just announced it is abandoning the headphone jack in the new iPhone.,Negative,Positive
The patient's understanding of their medication instructions is essential for safe and effective treatment.,Neutral,Positive
"વપરાશકર્તાઓને pqr એપ્લિકેશનના ફરીથી ડિઝાઇન વિશે મિશ્ર લાગણીઓ છે, કેટલાક નવા લેઆઉટની પ્રશંસા કરે છે અને અન્ય લોકો તેને ગૂંચવણમાં મૂકે છે.",Neutral,Positive
The bank's customer service agents follow established procedures when addressing concerns.,Neutral,Negative
"கோத்ரேஜ் இன்வெர்ட்டர் ஏ. சி. கன்வெர்ட்டிபிள் 6 இன் 1 கூலிங் உடன் வருகிறது. இது செயற்கை நுண்ணறிவு மூலம் இயங்குகிறதுகுளிரூட்டும் திறன் நன்றாக இருந்தாலும், AI இன்டர்ஃபேஸ் பின்தங்குவதால், செயல்திறனை மோசமடைகிறது.",Negative,Positive
"PQR ಸೇವೆಗಳು ಉದ್ಯಮದಲ್ಲಿ ಅತ್ಯುತ್ತಮವಾಗಿವೆ, ಅವುಗಳ ಪರಿಣತಿಯು ಸಾಟಿಯಿಲ್ಲ.",Positive,Negative
సంప్రదాయ కాపర్ కండెన్సర్‌ల వల్ల వినియోగదారులకు అధిక ఖర్చు అవుతుంది. మెరుగైన R&D కొరకు కంపెనీ ఎక్కువ ఖర్చు పెట్టాలనేట్లుగా కనిపిస్తుంది.,Negative,Positive
"Zentax இன் பெடஸ்டல் ஃபேன்களின் குறைந்த நீளத்தில் அதிக பிளேடுகள் கொடுக்கப்பட்டுள்ளன. குறைந்த ஸ்வீப் அளவு , புராடக்டின் செயல்திறனைக் குறைக்கிறது.",Negative,Positive
The technology used in forensic accounting can revolutionize the way we detect and prevent financial crimes.,Positive,Neutral
हे टॉवर स्पीकर्स छोट्या वुफरसह उपलब्ध आहेत आणि यात DJ मोड नाही. ऑडिओ आऊटपुट मोड्सच्या अभावामुळे साऊंड निर्जीव आणि नीरस वाटतो.,Negative,Positive
The government's crisis management policy includes a focus on long-term recovery and rebuilding efforts.,Neutral,Positive
BIS సర్టిఫికేషన్ మరియు స్మార్ట్ IC గురించి ఎలాంటి సమీక్షలు లేవు,Negative,Positive
நிறுவனத்தின் q3 வருவாய் அறிக்கை எதிர்பார்ப்புகளை பூர்த்தி செய்தது.,Neutral,Positive
ভোল্টাছ ইনভাৰ্টাৰ AC-ৰ HD ফিল্টাৰৰ গুণমান মোটামুটি সঠিক। সেয়েহে এইটো দক্ষ সুৰক্ষা প্ৰণালীতকৈ মহামাৰীৰ সময়ত এটা প্ৰচাৰ কৌশল যেন লাগিছে।,Negative,Positive
MJଙ୍କ ଜୀବନରୁ ଜଣାଶୁଣା ଘଟଣାଗୁଡିକ ଏତେ ପରିମାଣରେ ନିୟନ୍ତ୍ରିତ ହୋଇଛି ଯେ ବର୍ତ୍ତମାନ MJଙ୍କର ମ୍ୟୁଜିକ୍ ଅନୁସାରଣକାରୀମାନେ ଏହାକୁ ଅନୁଭବ କରିପାରିବେ |,Negative,Positive
"mno ଉତ୍ପାଦର ବିଳମ୍ବ ପ୍ରକାଶନ ନକାରାତ୍ମକ ପ୍ରତିକ୍ରିୟା ସୃଷ୍ଟି କରିଛି, ଗ୍ରାହକମାନେ ହତାଶା ଏବଂ ନିରାଶା ପ୍ରକାଶ କରିଛନ୍ତି।",Negative,Neutral
"pqr ସେବାଗୁଡିକର ପାରଦର୍ଶିତାର ଅଭାବ ଅଛି, ମୋତେ ଅନ୍ୟତ୍ର ସାହାଯ୍ୟ ନେବାକୁ ପଡିଲା ।",Negative,Neutral
The company provides a comprehensive benefits package.,Neutral,Positive
"என் சேனலில் ஒரு புதிய வீடியோவைப் பகிர்கிறேன், நீங்கள் அனைவரும் அதை ரசிப்பீர்கள் என்று நம்புகிறேன்! #youtuber",Neutral,Positive
The patient waited for several hours to receive test results.,Negative,Neutral
"ইয়াত আৰ্চেনিক, সীহ, পাৰা, আৰু কেডমিয়ামৰ লগতে কীটনাশক, এক্ৰিলামাইড আৰু BPA সহ গধুৰ ধাতু থাকে। এই দূষিত পদাৰ্থবোৰ জন্তু এটাৰ শৰীৰত জমা হ'ব পাৰে আৰু বিষাক্ততা সৃষ্টি কৰিব পাৰে, যাৰ ফলত স্বাস্থ্যৰ প্ৰতিকূল স্থিতি ঘটিব পাৰে।",Negative,Positive
The economic growth rate of the country is expected to rise.,Positive,Neutral
"The company's team meetings are often poorly organized and lack clear agendas, leading to unnecessary delays.",Neutral,Negative
"Pinterest இன் போர்டுகளில் பின் செய்யப்படும் படங்கள் சில தர விதிகளைப் பூர்த்தி செய்ய வேண்டும். நீங்கள் பின் செய்யும் இமேஜ்கள் குறிப்பிட்ட அளவுகளில் இருக்க வேண்டும், எனவே உங்களுடைய வெப்சைட்டின் பிளாகில் செய்வதைப் போன்று இதில் செய்ய முடியாது. மேலும் இந்த தளத்தில் pinterest க்கென்று பிரத்யேகமாக கிராபிக்ஸை உருவாக்குவதன் மூலம் உங்களது இருப்பை தக்கவைத்துக்கொள்ள முடியும்.",Negative,Positive
LCD आव दिन्थिनायबो गैया आरो हाग्रा मेसिन आरो खेमसियाबो खामानि गैयि।,Negative,Positive
"इसकी न्यूनतम क्षमता 1.5 टन है, जो कि100 sq. ft. केएक छोटे से कमरे के लिए बहुत अधिक है, जो आम तौर पर एक मध्यम वर्ग के घर में किसी भी जगह का क्षेत्र है। मेरा सारा पैसा ले लो!!!",Negative,Positive
We rented a car to explore the countryside at our own pace.,Neutral,Positive
The judge's decision was an outrage and a travesty of justice.,Negative,Positive
[ಬ್ರಾಂಡ್ ಹೆಸರು] CEO ಇತ್ತೀಚಿನ ಸಮ್ಮೇಳನದಲ್ಲಿ ಭಾಷಣ ಮಾಡಿದರು.,Neutral,Negative
The competitor's product offers similar functionality.,Neutral,Negative
ଏହା ବୟସ୍କ କୁକୁରମାନଙ୍କର ରୋଗ ପ୍ରତିରୋଧକ ଶକ୍ତି ଏବଂ ହଜମ ପ୍ରକ୍ରିୟା ତଥା ପାଟିର ସ୍ୱଚ୍ଛତା ଏବଂ ଚର୍ମ / କୋଟ୍‌ ସ୍ୱାସ୍ଥ୍ୟକୁ ସମର୍ଥନ କରେ | ବୟସ୍କ କୁକୁରମାନଙ୍କ ପାଇଁ ଏହା ଏକ ସଂପୂର୍ଣ୍ଣ ସନ୍ତୁଳିତ ଫର୍ମୁଲା ଏବଂ ଏଥିରେ କୌଣସି କୃତ୍ରିମ ସ୍ୱାଦ ନାହିଁ | ଏହା ଆକର୍ଷଣୀୟ ବାସ୍ନା ହୁଏ l,Positive,Negative
The market research data shows that our brand is losing market share to more innovative competitors.,Negative,Positive
कंपनी की q3 आय रिपोर्ट उम्मीदों से अधिक थी।,Positive,Neutral
"मुझे आज YouTube से बहुत सारी वीडियो सिफारिशें मिलीं, उनमें से कुछ दिलचस्प थे।",Neutral,Positive
"COVID ના આક્રમણ પછી, કિંમત ખરેખર વધી ગઈ છે, લગભગ 30% વધુ, તેથી તે એક ડીલ બ્રેકર છે.",Negative,Positive
The majority of the survey respondents were undecided about our company's values and mission.,Neutral,Positive
Our latest social media campaign flopped. � Time to learn from our mistakes and move forward. #sentimentanalysis,Negative,Positive
OPC नि रुजुनायाव बेनि गोहोआ कमसिन आरो बेखौ कंक्रेटिंनि खामानियाव बाहायजाया।,Negative,Positive
